"province_name","city_name","bss_area_id"
"陕西","渭南市","843"
"陕西","咸阳市","844"
"陕西","榆林市","845"
"陕西","铜川市","846"
"陕西","商洛市","847"
"陕西","安康市","848"
"陕西","汉中市","849"
"贵州","贵阳市","850"
"贵州","毕节市","851"
"贵州","黔西南州","852"
"贵州","六盘水市","853"
"云南","昆明市","860"
"云南","红河州","861"
"云南","大理州","862"
"云南","丽江市","863"
"云南","楚雄州","864"
"云南","玉溪市","865"
"云南","曲靖市","866"
"云南","昭通市","867"
"云南","普洱市","869"
"甘肃","兰州市","870"
"甘肃","定西市","871"
"甘肃","平凉市","872"
"甘肃","庆阳市","873"
"甘肃","武威市","874"
"甘肃","张掖市","875"
"甘肃","嘉峪关市","876"
"甘肃","天水市","877"
"甘肃","临夏州","878"
"甘肃","白银市","879"
"宁夏","银川市","880"
"宁夏","吴忠市","883"
"宁夏","石嘴山市","884"
"宁夏","固原市","885"
"宁夏","中卫市","886"
"新疆","乌鲁木齐市","890"
"新疆","昌吉州","891"
"新疆","石河子市","893"
"新疆","吐鲁番地区","894"
"新疆","巴音郭楞州","895"
"新疆","阿克苏地区","896"
"新疆","喀什地区","897"
"新疆","伊犁州","898"
"新疆","克拉玛依市","899"
"新疆","哈密地区","900"
"吉林","长春市","901"
"吉林","吉林市","902"
"吉林","四平市","903"
"吉林","松原市","904"
"吉林","通化市","905"
"吉林","辽源市","906"
"吉林","白城市","907"
"吉林","白山市","908"
"吉林","延边朝鲜族自治州","909"
"辽宁","沈阳市","910"
"辽宁","铁岭市","911"
"辽宁","鞍山市","912"
"辽宁","抚顺市","913"
"辽宁","本溪市","914"
"辽宁","丹东市","915"
"辽宁","锦州市","916"
"辽宁","营口市","917"
"辽宁","阜新市","918"
"辽宁","辽阳市","919"
"辽宁","朝阳市","920"
"辽宁","盘锦市","921"
"辽宁","葫芦岛市","922"
"甘肃","金昌市","930"
"甘肃","酒泉市","931"
"辽宁","大连市","940"
"新疆","博尔塔拉州","951"
"新疆","塔城地区","952"
"新疆","阿勒泰地区","953"
"新疆","克孜勒苏柯尔克孜自治州","954"
"新疆","和田地区","955"
"甘肃","陇南市","960"
"甘肃","甘南州","961"
"黑龙江","哈尔滨市","971"
"黑龙江","齐齐哈尔市","973"
"黑龙江","佳木斯市","976"
"黑龙江","大庆市","981"
"黑龙江","牡丹江市","988"
"黑龙江","绥化市","989"
"黑龙江","黑河市","990"
"黑龙江","鸡西市","991"
"黑龙江","七台河市","992"
"黑龙江","鹤岗市","993"
"黑龙江","双鸭山市","994"
"黑龙江","大兴安岭地区","995"
"黑龙江","伊春市","996"
